包名,名称,UI界面,是否可用,图标正常,桌面启动,备注,
com.echanceyun.pan,企业云盘,,,,,模块fs-extra 为空无法启动,
com.elex.tscs,博智计算机终端保密检查系统V2.0,是,是,是,是,,
com.eolink,Eolink,是,否,是,是,"强制更新,暂时跳过",
com.eusoft.eudic,欧路词典,是,是,是,是,,
com.founderinternational.cebreader,方正CEB版式文档阅读器,是,是,是,是,,
com.foxit.foxitpdfeditor,福昕高级PDF编辑器,是,是,是,是,,
com.ftsafe.interpass3000-cgb,广发银行key盾管理工具-飞天诚信,,,,,卡住无法启动,
com.fz.deepin,方正证券股票期权经典版,,,,,"wine应用,且文件不完整,跳过",
com.gdca.gdcaclient,GDCA数字证书客户端,是,是,是,是,,
com.gdca.trustofdreader,信鉴易OFD印章阅读器,是,是,是,是,,
com.gingo,金鸽,是,是,是,是,,
com.github.desktopnaotu,桌面版百度脑图,是,是,是,是,,
com.gnway.appcloud,云联信创专版,是,未知,是,是,偶尔显示个就退出getLineNum[62],
com.gstarcad.cad,浩辰CAD 2024,是,是,是,是,,
com.gsubo.xoa,心通达OA精灵,是,是,是,是,,
com.gtja.richeasy,国泰君安富易,是,否,是,是,"基本功能可用,登录显示连接中,不知能否用",
com.gzsdkj,山地签,,,,,"服务端,且在程序目录写日志sd_warn.log",
com.hillstonenet.scvpn,Hillstone Secure Connect-远程工具,是,是,是,是,,
com.hisense-syxs.hiedu,海信智学,是,是,是,是,,
com.hsl.amis,电子档案管理系统,是,是,是,是,,
com.hst.fsmeeting,好视通云会议,是,是,是,是,,
com.htsec.ehtsec,e海通财,是,是,是,是,,
com.huashuoaf.finger,华硕安防指纹,是,是,是,是,"设备文件相关,不一定可用",
com.huidu.hdplayer,HDPlayer软件,是,是,是,是,,
com.huluer.ichainpi,派盘,,,,,"试图打开只读目录,暂时跳过: error=""open /etc/ichainpi/service.db: no such file or directory""",
com.icvp.vwas,万控一体化集控,是,是,是,是,,
com.insight.client,信创运维小助手,,,,,纯服务,
com.isoftstone.hwcloudlink,HW CloudLink-视频会议,是,是,是,是,,
com.jiaedian.power,华腾节能客户端,,,,,字体异常,
com.jiaoyi.tradermaster,交易侠,,,,,Segmentation fault,
com.jimi.evimsagent,Evimsagent-系统性能监控,是,是,是,是,,
com.joydin.braingame,智力游戏,是,是,是,是,,
com.jsdeepnet.swgap,深网文件传输客户端,,否,,,"缺libdlog.so,仓库中找不到",
com.jumple.pns.server,PNS全国产桌面云系统软件V2.0（服务端）,,,,,无快捷方式；dpkg文件权限错误,
com.jzaq.client,集中安全平台,,,,,找不到包,
com.jzaq.stand-alone,集中安全平台单机版,,,,,找不到包,
com.keymanager,密信Key管理工具,是,是,是,是,,
com.kinggrid.isignature10.common,金格电子签章系统V10,,,,,找不到包,
com.kinggrid.surread,超阅版式办公套件,是,是,是,是,,
com.langlangjiaoyu.langyunzhihuijiaoxuexitong,朗云智慧教学系统,,,,,找不到包,
com.lightwan,LightWAN,是,是,是,是,,
com.longhubang.numnode,龙虎榜,,,,,"libGL error: failed to load driver: swrast
X Error of failed request:  GLXBadContext",
com.longser.gm3000user,中科朗思通用证书驱动,,,,,跳过，不适合玲珑,
com.meia.me,美啊,,,,,无快捷方式,
com.meitu.mtxx,美图秀秀-图片编辑与设计神器,是,是,是,是,,
com.microcloudsys.appv,微云云应用,是,是,是,是,,
com.mindlinker.boardmeeting,MindLinker(intel大屏版),是,否,是,是,无网络,
com.mindlinker.meeting,MindLinker迈聆会议,是,是,是,是,,
com.mingdao.officetool,明道云办公,是,是,是,否?,"复制desktop的ll-cli命令可启动,双击不行",
com.mythware.cms-student,极域课堂互动教学系统软件（学生端）,,,,,无法启动,
com.mythware.cms-teacher,极域课堂互动教学系统软件（教师端）,,,,,无法启动,
com.netchina.ndoffice-stable,网龙Office 2021,是,是,是,是,,
